name,date,link,price,ticket_open_date
고잉홈프로젝트: 베토벤 전곡 시리즈 3.,2024-07-14,https://www.sac.or.kr/site/main/show/show_view?SN=64506,가격 정보 없음,예매 일정 없음
브람스 피아노 협주곡 전곡 : 대조,2024-07-16,https://www.sac.or.kr/site/main/show/show_view?SN=68720,가격 정보 없음,예매 일정 없음
포스메가남성합창단 창단30주년 기념 정기연주회,2024-07-17,https://www.sac.or.kr/site/main/show/show_view?SN=68520,가격 정보 없음,예매 일정 없음
KBS교향악단 제804회 정기연주회,2024-07-18,https://www.sac.or.kr/site/main/show/show_view?SN=60865,R석 10만원 / S석 8만원 / A석 5만원 / B석 3만원 / C석 1만원 ,2023-12-15
KT와 함께하는 예술의전당 마음을 담은 클래식(7월),2024-07-19,https://www.sac.or.kr/site/main/show/show_view?SN=60204,"일반석 30,000원 / 3층석 15,000원",2024-03-21
코랄레움 인 서울 `합창 명작 마주하기 프로젝트 II`,2024-07-02,https://www.sac.or.kr/site/main/show/show_view?SN=66639,가격 정보 없음,예매 일정 없음
Belcanto Operatic Duets,2024-07-04,https://www.sac.or.kr/site/main/show/show_view?SN=66638,가격 정보 없음,예매 일정 없음
김선욱 피아노 리사이틀,2024-07-05,https://www.sac.or.kr/site/main/show/show_view?SN=62292,가격 정보 없음,예매 일정 없음
"아디오스 피아졸라, 라이브탱고 ",2024-07-06,https://www.sac.or.kr/site/main/show/show_view?SN=62291,가격 정보 없음,예매 일정 없음
창단 35주년 기념 마스터피스 시리즈Ⅴ  서울모테트합창단 제127회 정기연주회 멘델스죤의 [사도바울],2024-07-09,https://www.sac.or.kr/site/main/show/show_view?SN=60768,가격 정보 없음,예매 일정 없음
<카디프의 남자들>,2024-07-20,https://www.sac.or.kr/site/main/show/show_view?SN=66986,가격 정보 없음,예매 일정 없음
"국립심포니오케스트라 -  드보르자크, 교향곡 7번 ",2024-07-21,https://www.sac.or.kr/site/main/show/show_view?SN=60799,"R석 70,000원 / S석 50,000원 / A석 30,000원 / B석 10,000원",2023-12-20
기획공연 <여름합창축제Ⅱ>,2024-08-22,https://www.sac.or.kr/site/main/show/show_view?SN=60794,가격 정보 없음,예매 일정 없음
KT와 함께하는 예술의전당 마음을 담은 클래식(8월),2024-08-23,https://www.sac.or.kr/site/main/show/show_view?SN=60185,,
2024 힉엣눙크! 뮤직 페스티벌 - 세종솔로이스츠 & Four Concertmasters,2024-08-24,https://www.sac.or.kr/site/main/show/show_view?SN=60793,"R석 150,000원 / S석 110,000원 / A석 70,000원 / B석 30,000원",2024-03-13
[드보르작 서거 150주년] 차이코프스키 & 드보르작,2024-08-25,https://www.sac.or.kr/site/main/show/show_view?SN=63627,가격 정보 없음,예매 일정 없음
2024 힉엣눙크! 뮤직 페스티벌 - 세종솔로이스츠의 Pure Lyricism,2024-08-27,https://www.sac.or.kr/site/main/show/show_view?SN=64319,"R석 150,000원 / S석 110,000원 / A석 70,000원 / B석 30,000원",2024-03-13
카운터테너 이동규 리사이틀,2024-08-28,https://www.sac.or.kr/site/main/show/show_view?SN=67410,가격 정보 없음,예매 일정 없음
한빛예술단의 Joyful Fantasy,2024-08-29,https://www.sac.or.kr/site/main/show/show_view?SN=66633,가격 정보 없음,예매 일정 없음
"국립심포니오케스트라 - 스트라빈스키, 페트루슈카",2024-08-31,https://www.sac.or.kr/site/main/show/show_view?SN=60792,"R 70,000원 / S 50,000원 / A 30,000원 / B 10,000원  ",2023-12-20
